history_date,primary_index,sub_index,price_change,total_value,price_change_weighted
2/1/04,Consumer Price Index,Tech I ships,0.928711,2.74527E+11,-0.038529
2/1/04,Consumer Price Index,Tech II modules,0.856717,6458126523,-0.001821
2/1/04,Mineral Price Index,High-End Minerals,0.801503,1.253E+11,-0.104574
2/1/04,Mineral Price Index,Low-End Minerals,1.01,1.12538E+11,0.004731
2/1/04,Primary Producer Price Index,Commodity,0.691587,811617235.6,-0.014804
2/1/04,Primary Producer Price Index,Ore,0.977456,11965333040,-0.015954
2/1/04,Primary Producer Price Index,Planetary Processed Materials,1.005237,845586940.1,0.000261
2/1/04,Primary Producer Price Index,Planetary Refined Commodities,0.922131,2724405748,-0.012547
2/1/04,Primary Producer Price Index,Planetary Specialized Commodities,1.079308,560599761.3,0.002629
2/1/04,Secondary Producer Price Index,Blueprints,1.003914,55616110998,0.002301
2/1/04,Secondary Producer Price Index,Commodity,0.99283,29989634592,-0.002273
2/1/04,Secondary Producer Price Index,Planetary Commodities,0.990691,644058604,-6.30E-05
2/1/04,Secondary Producer Price Index,Planetary Refined Commodities,1.010734,3668142522,0.000416
2/1/04,Secondary Producer Price Index,Planetary Specialized Commodities,0.958168,1284774961,-0.000568
2/1/04,Secondary Producer Price Index,Tech II construction components,1.432444,3372949113,0.015422
3/1/04,Consumer Price Index,Ammo,0.906207,21598126908,-0.002982
3/1/04,Consumer Price Index,Commodity,0.99612,2785647479,-1.50E-05
3/1/04,Consumer Price Index,Drones,0.930775,5625411548,-0.000573
3/1/04,Consumer Price Index,Implants,0.969506,85791560760,-0.003852
3/1/04,Consumer Price Index,Skills,0.998275,1.05495E+11,-0.000267
3/1/04,Consumer Price Index,Starbase structures,0.918458,8404003955,-0.001009
3/1/04,Consumer Price Index,Tech I modules,0.896375,64146060693,-0.009787
3/1/04,Consumer Price Index,Tech I ships,0.978454,3.66351E+11,-0.011622
3/1/04,Consumer Price Index,Tech II modules,0.776754,16950262126,-0.005571
3/1/04,Consumer Price Index,Tech II ships,0.873158,1998721550,-0.000373
3/1/04,Mineral Price Index,High-End Minerals,0.998007,1.87052E+11,-0.00115
3/1/04,Mineral Price Index,Low-End Minerals,1.069291,1.36926E+11,0.029285
3/1/04,Primary Producer Price Index,Commodity,0.595735,211658765.2,-0.005502
3/1/04,Primary Producer Price Index,Ore,1.027195,12030154775,0.021039
3/1/04,Primary Producer Price Index,Planetary Processed Materials,0.944964,724946472.6,-0.002565
3/1/04,Primary Producer Price Index,Planetary Refined Commodities,0.979444,2112882143,-0.002793
3/1/04,Primary Producer Price Index,Planetary Specialized Commodities,0.956541,470032825.6,-0.001313
3/1/04,Secondary Producer Price Index,Blueprints,1.001209,67978371722,0.000307
3/1/04,Secondary Producer Price Index,Commodity,1.001568,1.91594E+11,0.001122
3/1/04,Secondary Producer Price Index,Planetary Commodities,0.920784,551122306.7,-0.000163
3/1/04,Secondary Producer Price Index,Planetary Refined Commodities,0.992329,3444861467,-9.80E-05
3/1/04,Secondary Producer Price Index,Planetary Specialized Commodities,0.965386,1016294055,-0.000131
3/1/04,Secondary Producer Price Index,Tech II construction components,0.863289,3063453332,-0.001564
4/1/04,Consumer Price Index,Ammo,0.977448,26054526352,-0.000655
4/1/04,Consumer Price Index,Commodity,1.062217,4183795426,0.00029
4/1/04,Consumer Price Index,Drones,0.945051,6838178601,-0.000419
4/1/04,Consumer Price Index,Implants,1.018795,1.12067E+11,0.002349
4/1/04,Consumer Price Index,Skills,1.028748,1.57988E+11,0.005066
4/1/04,Consumer Price Index,Starbase structures,0.90046,10135826333,-0.001125
4/1/04,Consumer Price Index,Tech I modules,0.970146,76262099223,-0.002539
4/1/04,Consumer Price Index,Tech I ships,1.008224,4.65248E+11,0.004268
4/1/04,Consumer Price Index,Tech II modules,0.735631,28322637066,-0.008352
4/1/04,Consumer Price Index,Tech II ships,0.826473,9326801650,-0.001805
4/1/04,Mineral Price Index,High-End Minerals,0.973227,2.04076E+11,-0.014923
4/1/04,Mineral Price Index,Low-End Minerals,0.982934,1.62052E+11,-0.007553
4/1/04,Primary Producer Price Index,Commodity,1.026853,695184095.5,0.000212
4/1/04,Primary Producer Price Index,Ore,0.996037,13603088528,-0.000613
4/1/04,Primary Producer Price Index,Planetary Processed Materials,1.034648,944905208.4,0.000372
4/1/04,Primary Producer Price Index,Planetary Refined Commodities,0.988155,1368623885,-0.000184
4/1/04,Primary Producer Price Index,Planetary Specialized Commodities,1.036441,71286070923,0.029554
4/1/04,Secondary Producer Price Index,Blueprints,1.00652,53468687004,0.000664
4/1/04,Secondary Producer Price Index,Commodity,1.001076,4.60924E+11,0.000945
4/1/04,Secondary Producer Price Index,Planetary Commodities,1.009249,449869007.1,7.00E-06
4/1/04,Secondary Producer Price Index,Planetary Refined Commodities,1.093317,2984402351,0.00053
4/1/04,Secondary Producer Price Index,Planetary Specialized Commodities,0.957553,917768822.4,-7.40E-05
4/1/04,Secondary Producer Price Index,Tech II construction components,0.655087,5743269573,-0.003776
5/1/04,Consumer Price Index,Ammo,0.969401,31726852438,-0.000825
5/1/04,Consumer Price Index,Commodity,1.039851,5817061742,0.000197
5/1/04,Consumer Price Index,Drones,0.967097,7816621046,-0.000218
5/1/04,Consumer Price Index,Implants,1.76339,2.11898E+11,0.137554
5/1/04,Consumer Price Index,Skills,1.01256,1.56038E+11,0.001666
5/1/04,Consumer Price Index,Starbase structures,0.96786,14497044900,-0.000396
5/1/04,Consumer Price Index,Tech I modules,0.974165,93251651635,-0.002048
5/1/04,Consumer Price Index,Tech I ships,0.97285,5.91998E+11,-0.013667
5/1/04,Consumer Price Index,Tech II modules,0.881368,45380568218,-0.004577
5/1/04,Consumer Price Index,Tech II ships,1.001994,17552576650,2.90E-05
5/1/04,Mineral Price Index,High-End Minerals,0.96062,2.52991E+11,-0.023065
5/1/04,Mineral Price Index,Low-End Minerals,1.007271,1.7894E+11,0.003012
5/1/04,Primary Producer Price Index,Commodity,1.077802,916785253.7,0.00039
5/1/04,Primary Producer Price Index,Ore,1.025133,23146867102,0.003183
5/1/04,Primary Producer Price Index,Planetary Processed Materials,1.016399,1460190824,0.000131
5/1/04,Primary Producer Price Index,Planetary Refined Commodities,1.037353,1437511178,0.000293
5/1/04,Primary Producer Price Index,Planetary Specialized Commodities,1.373329,1.55755E+11,0.318241
5/1/04,Secondary Producer Price Index,Blueprints,1.0058,77892093656,0.001725
5/1/04,Secondary Producer Price Index,Commodity,1.000248,1.64827E+11,0.000156
5/1/04,Secondary Producer Price Index,Planetary Commodities,0.991369,594462179.3,-1.90E-05
5/1/04,Secondary Producer Price Index,Planetary Refined Commodities,1.219726,3785782717,0.003177
5/1/04,Secondary Producer Price Index,Planetary Specialized Commodities,0.997814,684519600.3,-5.00E-06
5/1/04,Secondary Producer Price Index,Tech II construction components,1.25627,14016718642,0.01372
6/1/04,Consumer Price Index,Ammo,0.931155,40416099104,-0.00187
6/1/04,Consumer Price Index,Commodity,1.094175,4811164395,0.000304
6/1/04,Consumer Price Index,Drones,0.987224,9644846213,-8.20E-05
6/1/04,Consumer Price Index,Implants,1.173278,1.56236E+11,0.018196
6/1/04,Consumer Price Index,Skills,1.036904,1.811E+11,0.004492
6/1/04,Consumer Price Index,Starbase structures,0.949928,18619176040,-0.000626
6/1/04,Consumer Price Index,Tech I modules,0.998957,1.19177E+11,-8.30E-05
6/1/04,Consumer Price Index,Tech I ships,1.028657,8.53674E+11,0.016442
